remitente,destinatario,asunto,fecha_envio,tamano,num_destinatarios,contenido,num_enlaces,adjunto,etiqueta
sabas19@example.com,abellanamada@example.com,Reunión de trabajo,2025-06-13 19:21:09,346,3,Aquel artículo presenta crecimiento económica. Recuerdo él premio organización vuelve primeras adelante. Color realidad acerca son.,1,PDF,ham
jartigas@example.net,andres68@example.net,Invitación a cumpleaños,2025-02-08 15:49:10,197,2,Encima premio último propia. Nosotros calidad universidad cinco.,0,PDF,ham
pliniorodriguez@example.net,tbenet@example.com,Invitación a cumpleaños,2025-01-13 14:48:21,431,3,Natural expresión libertad a hubo sabía tres. Realizar costa hora director lenguaje tema. Cuadro resultados cultura público vamos intereses. Llega tú posible militares. Victoria hombre mujeres corte libros española llegado.,0,PDF,ham
antunezfeliciana@example.net,hipolitomatas@example.net,Invitación a cumpleaños,2025-03-28 18:59:09,396,1,Esta fuerte asunto tierra. Resulta relación r muchas siete domingo puntos. Gracias teatro hubiera cuba uso. Centro empresas nueva idea.,0,Ninguno,ham
zgomila@example.net,marcia52@example.net,Haz clic aquí para reclamar tu premio,2025-06-17 22:49:44,396,2,poner comenzó atención voluntad o octubre puedo haz clic aquí,2,PDF,spam
lorenzaaroca@example.com,munizaurora@example.net,Invitación a cumpleaños,2025-06-25 11:43:11,435,3,Soy voy bueno relación duda. Creación mitad cama humanos esfuerzo. Cómo considera sigue. Sector blanca proyectos señaló asimismo semanas opinión.,0,Ninguno,ham
bayonaserafina@example.org,xiomara54@example.org,Reporte semanal,2025-01-15 23:08:23,397,5,Práctica secretario ella nuevo nada estado carácter. Producción control efecto resultado cabeza.,1,Ninguno,ham
vidalbernal@example.net,jonatanbarragan@example.com,Tareas pendientes,2025-03-30 13:25:32,43,1,Principios cantidad p deja respuesta fuerte tiempos. Hijo qué boca cual ejemplo tengo vamos. Ninguna propuesta aquel deben padre sigue. Serán ellas ambos región estoy.,1,DOCX,ham
jennifervara@example.net,saludprada@example.org,Haz clic aquí para reclamar tu premio,2025-05-23 23:57:36,141,3,gente capacidad según medios otras instituto cultura hijo carlos creo española práctica y país reclama ya,4,EXE,spam
reignoemi@example.com,garrigacosme@example.org,Reporte semanal,2025-08-12 04:14:49,150,5,Parecía mucho seguridad tenía común voluntad visita. Da primer equipo ésta podemos unos millones.,0,Ninguno,ham
